t,p_total_kw,p_central_setpoint_kw,n_active,cluster_cap_kw,p_cons_ev_skoda,p_cons_ev_tesla,p_cons_ev_vw,p_mc_setpoint_ev_skoda,p_mc_setpoint_ev_tesla,p_mc_setpoint_ev_vw,p_charger_setpoint_ev_skoda,p_charger_setpoint_ev_tesla,p_charger_setpoint_ev_vw,rel_priority_ev_skoda,rel_priority_ev_tesla,rel_priority_ev_vw
18.5,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
18.6,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
18.7,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
18.8,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
18.900000000000002,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
19.0,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
19.1,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
19.200000000000003,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
19.3,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
19.400000000000002,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
19.5,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
19.6,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
19.700000000000003,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
19.8,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
19.900000000000002,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
20.0,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
20.1,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
20.200000000000003,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
20.3,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
20.400000000000002,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
20.5,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
20.6,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
20.700000000000003,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
20.8,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
20.900000000000002,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
